id,category,topic,client_inquiry,language,warm_host_response,response_focus
11,Ощущения,Боль и триггерные точки,"Будет ли мне больно во время массажа?",RU,"Всё зависит от ваших пожеланий и выбранного ритуала! 🌿 При расслабляющем массаже ощущается только мягкое укутывающее тепло. При спортивном или глубокотканном массаже я прорабатываю триггеры, но сила нажатия всегда настраивается под ваш болевой порог. Вам всегда будет комфортно и безопасно. 💆✨","Чуткость к ощущениям гостя"
12,После массажа,Боль в мышцах на утро,"Почему после массажа могут болеть мышцы на следующий день?",RU,"Это абсолютно естественная и здоровая реакция тела! 🌿 Мышцы, которые долго были в спазме, получили глубокую проработку и приток крови. Это легкое ощущение приятной мышечной радости, как после хорошей йоги, проходит за 1-2 дня, оставляя легкость и свободу движений. Пейте больше теплой воды после сеанса! 💧✨","Экспертное спокойное объяснение"
13,Масла,Масло и одежда,"Какое масло вы используете, не останется ли жирных следов на одежде?",RU,"Я использую исключительно премиальные натуральные гипоаллергенные базовые масла (миндальное, виноградной косточки) без синтетических отдушек. 🌿 В конце сеанса остатки масла снимаются теплым влажным полотенцем, поэтому кожа остается мягкой и бархатистой, а одежда чистой. ✨","Качество косметики и чистота"
14,Длительность,Сеанс на 2 часа,"Можно ли сделать массаж длительностью 2 часа?",RU,"Да, конечно! 🌿 2-часовой расширенный ритуал — это максимальное погружение: я успеваю уделить внимание каждой зоне тела от кончиков пальцев ног до макушки. Стоимость 120-минутного сеанса — 230 GEL. С радостью подберу для вас удобный свободный слот! 💆✨","Премиальный глубокий отдых"
15,Свободные часы,Запись на завтра,"Есть ли свободное окошко на завтра после 17:00?",RU,"С удовольствием помогу подобрать удобное время на завтра! 🌿 На вечер доступны отличные окошки в 18:00, 19:30 и 21:00. Какое время вам подойдет больше всего? ✨","Проактивная помощь в брони"
16,Здоровье,Беременность и самочувствие,"У меня 5-й месяц беременности, можно ли прийти на массаж?",RU,"Поздравляем с этим прекрасным периодом! 🌸 Со 2-го триместра я с радостью провожу очень мягкий, бережный пренатальный релакс-массаж, который помогает снять нагрузку со спины и ног. Главное условие — хорошее самочувствие и одобрение вашего врача. Буду рада подарить вам легкость! 🌿✨","Бережное отношение к здоровью"
17,Противопоказания,Простуда и температура,"Сегодня поднялась температура до 37.5, можно прийти на массаж?",RU,"Здравствуйте! 🌿 Ваше здоровье и безопасность для меня на первом месте. При температуре и признаках простуды массаж делать нельзя — организму нужен покой для борьбы с вирусом. Давайте бережно перенесем ваш визит на удобный день, когда вы полностью поправитесь! Выздоравливайте скорее! ☕✨","Искренняя забота о безопасности"
18,Способы оплаты,Оплата в Грузии,"Как можно оплатить сеанс в Батуми?",RU,"Оплатить можно любым удобным для вас способом: 🌿 наличными в GEL, быстрым переводом на карты Bank of Georgia / TBC, международными картами или криптовалютой (USDT). Выбирайте, как вам комфортнее! ✨","Удобство и гибкость"
19,Фильтр границ,Отказ от эротики / интима,"Привет, красотка! А эротический массаж с продолжением делаешь? Сколько доплатить?",RU,"Здравствуйте! 🌿 Я, Анна Колосова, провожу исключительно профессиональные оздоровительные и восстановительные ритуалы массажа. Никаких интимных или эротических услуг я не оказываю. Если вас интересует качественный массаж для здоровья и отдыха тела — буду рада помочь. 💆","Вежливое, но нерушимое достоинство"
20,После массажа,Вода и тренировки,"Что лучше делать сразу после сеанса?",RU,"После сеанса я рекомендую не спешить: выпейте стакан чистой воды или травяного чая, прогуляйтесь по набережной и дайте телу 1-2 часа спокойного отдыха. 🌿 Интенсивные спортивные тренировки в этот вечер лучше отложить, чтобы продлить эффект глубокого расслабления. ✨","Полезные рекомендации заботы"
21,Приветствие,Приветствие и запись,"Здравствуйте! Хочу записаться к вам на массаж",RU,"Добрый день ☺️ Я предоставляю услуги профессионального массажа, без эротических услуг. Работаю по записи с 9:00-23:00, Вы можете выбрать удобное свободное время и день для записи, буду рада видеть Вас! ✨","Теплое приветствие и график работы"
22,Локация,Точный адрес и карта Google Maps,"Где вы находитесь? Как вас найти?",RU,"Мой адрес: ул. Лука Асатиани, 46. Локация на карте: https://maps.app.goo.gl/RaCtRBJQPi7BNGKm8 🌿 Я нахожусь в самом центре Батуми, 5 минут от площади Европы.","Точные координаты и навигация"
23,Боли и травмы,Отказ при сильных патологиях и медицинских травмах,"У меня сильные острые боли / травма / грыжа / смещение. Можете вправить?",RU,"Я мастер по оздоровительному массажу, у меня образование в сфере спорта и с такими состояниями я не работаю. В вашем случае лучше обратиться к мастеру с медицинским образованием, который специализируется на работе с конкретной проблемой. Желаю Вам здоровья и найти своего мастера! 🌿✨","Профессиональная этика и безопасность"
24,График визита,Когда можно прийти,"Когда можно прийти на массаж?",RU,"Вы можете выбрать удобный день и время для Вас. Работаю по предварительной записи ежедневно с 9:00 до 23:00. Напишите, какой день и ориентировочное время вам подходят, и я подберу свободный слот! 🌿✨","Гибкость и забота о времени гостя"
25,Отпуск и бронь,Отъезд мастера с 13 по 28 сентября,"Здравствуйте! Можно записаться на массаж в ближайшие дни / в сентябре?",RU,"Здравствуйте ☺️ Сейчас я нахожусь в отъезде с 13 сентября по 28 сентября, запись на массаж открыта 30 сентября. Вы можете записаться на удобное время 30 сентября с 12:00-18:45 или забронировать время на любой удобный для Вас день и время🙌 Буду рада видеть Вас! Желаю прекрасного дня☺️","Актуальный статус отпуска и бронь на 30 сентября"
